N;S_wide;err_wide;S_narrow;err_narrow
51100;0.9507145473;0.0061973614;0.9454256360;0.0009084501
51600;0.9411253701;0.0033918158;0.9436531008;0.0008640851
52100;0.9089543999;0.0355627860;0.9440259117;0.0004912742
52600;0.9385742658;0.0059429201;0.9419439163;0.0025732695
53100;0.9582986740;0.0137814881;0.9452212806;0.0007040947
53600;0.9569774123;0.0124602264;0.9414878731;0.0030293128
54100;0.9402257914;0.0042913945;0.9443391867;0.0001779992
54600;0.9442580031;0.0002591828;0.9455128205;0.0009956346
55100;0.9365716452;0.0079455407;0.9436252269;0.0008919590
55600;0.9643449603;0.0198277744;0.9462679856;0.0017507997
56100;0.9342608723;0.0102563136;0.9462566845;0.0017394986
56600;0.9567543687;0.0122371828;0.9433966431;0.0011205428
57100;0.9492278100;0.0047106241;0.9469570928;0.0024399069
57600;0.9612424351;0.0167252492;0.9466796875;0.0021625016
58100;0.9243559211;0.0201612648;0.9460413081;0.0015241222
58600;0.9398617779;0.0046554080;0.9463097270;0.0017925411
59100;0.9388194568;0.0056977291;0.9442258883;0.0002912976
59600;0.9360002703;0.0085169156;0.9460360738;0.0015188879
60100;0.9424486535;0.0020685324;0.9437188020;0.0007983839
60600;0.9576143484;0.0130971625;0.9464315182;0.0019143323
61100;0.9470728839;0.0025556980;0.9493044190;0.0047872331
61600;0.9526430621;0.0081258762;0.9490259740;0.0045087881
62100;0.9538965278;0.0093793419;0.9422705314;0.0022466545
62600;0.9518685506;0.0073513647;0.9440295527;0.0004876332
63100;0.9458667611;0.0013495752;0.9447305864;0.0002134005
63600;0.9546342616;0.0101170757;0.9489386792;0.0044214933
64100;0.9500695729;0.0055523870;0.9428627145;0.0016544714
64600;0.9342882354;0.0102289505;0.9459945820;0.0014773961
65100;0.9393584510;0.0051587349;0.9460637481;0.0015465622
65600;0.9562076400;0.0116904541;0.9458269817;0.0013097958
66100;0.9501512597;0.0056340738;0.9437594554;0.0007577305
66600;0.9440398382;0.0004773477;0.9432432432;0.0012739427
67100;0.9574347897;0.0129176038;0.9424180328;0.0020991531
67600;0.9446004283;0.0000832424;0.9455436391;0.0010264532
68100;0.9510847244;0.0065675385;0.9445668135;0.0000496276
68600;0.9665447116;0.0220275257;0.9448797376;0.0003625517
69100;0.9585660240;0.0140488381;0.9425651230;0.0019520629
69600;0.9392477322;0.0052694537;0.9441091954;0.0004079905
70100;0.9279716359;0.0165455500;0.9383024251;0.0062147608
70600;0.9686332055;0.0241160196;0.9447592068;0.0002420209
71100;0.9515660212;0.0070488354;0.9442862166;0.0002309693
71600;0.9662390985;0.0217219126;0.9441689944;0.0003481915
72100;0.9352667820;0.0092504039;0.9439320388;0.0005851471
72600;0.9537335024;0.0092163165;0.9421487603;0.0023684256
73100;0.9452150511;0.0006978652;0.9486662107;0.0041490248
73600;0.9406430725;0.0038741134;0.9430536685;0.0014635174
74100;0.9310158804;0.0135013055;0.9450067476;0.0004895617
74600;0.9388507697;0.0056664162;0.9454088472;0.0008916613
75100;0.9482642593;0.0037470734;0.9419274301;0.0025897558
75600;0.9535666416;0.0090494557;0.9460317460;0.0015145601
76100;0.9471736658;0.0026564799;0.9411793693;0.0033378166
76600;0.9645983454;0.0200811595;0.9423629243;0.0021542616
77100;0.9350147614;0.0095024245;0.9446498054;0.0001326195
77600;0.9708354577;0.0263182718;0.9456024485;0.0010852626
78100;0.9271506862;0.0173664997;0.9451664533;0.0006492674
78600;0.9536599009;0.0091427150;0.9466921120;0.0021749261
79100;0.9641015731;0.0195843872;0.9455752212;0.0010580353
79600;0.9439998592;0.0005173267;0.9415672111;0.0029499748
80100;0.9485454743;0.0040282884;0.9424625468;0.0020546391
80600;0.9601513921;0.0156342062;0.9425868486;0.0019303373
81100;0.9253411521;0.0191760338;0.9445129470;0.0000042389
81600;0.9387341812;0.0057830047;0.9480238971;0.0035067112
82100;0.9498325517;0.0053153658;0.9429811206;0.0015360653
82600;0.9431413488;0.0013758371;0.9456567797;0.0011395938
83100;0.9337228286;0.0107943573;0.9466155235;0.0020983376
83600;0.9447683313;0.0002511454;0.9461722488;0.0016550629
84100;0.9496711875;0.0051540016;0.9458828775;0.0013656916
84600;0.9371633418;0.0073538441;0.9451536643;0.0006364784
85100;0.9434241917;0.0010929942;0.9460928320;0.0015756461
85600;0.9592658911;0.0147487052;0.9462908879;0.0017737020
86100;0.9235464573;0.0209707286;0.9444396051;0.0000775808
86600;0.9397690540;0.0047481319;0.9429561201;0.0015610658
87100;0.9569216021;0.0124044162;0.9421928817;0.0023243042
87600;0.9511267709;0.0066095850;0.9432505708;0.0012666151
88100;0.9401007514;0.0044164345;0.9436861521;0.0008310338
88600;0.9469755451;0.0024583592;0.9420428894;0.0024742965
89100;0.9503906192;0.0058734333;0.9468995511;0.0023823652
89600;0.9295707447;0.0149464412;0.9466936384;0.0021764525
90100;0.9209592717;0.0235579142;0.9457547170;0.0012375311
90600;0.9478546014;0.0033374155;0.9464403974;0.0019232115
91100;0.9289922447;0.0155249412;0.9416712404;0.0028459455
91600;0.9413277706;0.0031894153;0.9444186681;0.0000985178
92100;0.9404398396;0.0040773463;0.9425081433;0.0020090426
92600;0.9240228784;0.0204943075;0.9463822894;0.0018651035
93100;0.9403634186;0.0041537673;0.9454350161;0.0009178302
93600;0.9459347451;0.0014175592;0.9466880342;0.0021708483
94100;0.9556828649;0.0111656790;0.9430260361;0.0014911498
94600;0.9379908548;0.0065263311;0.9445428118;0.0000256259
95100;0.9491094659;0.0045922800;0.9472134595;0.0026962736
95600;0.9521794869;0.0076623010;0.9441161088;0.0004010771
96100;0.9465172112;0.0020000253;0.9401664932;0.0043506927
96600;0.9432283454;0.0012888405;0.9442805383;0.0002366476
97100;0.9334652267;0.0110519592;0.9440396498;0.0004775361
