Size,ArrayType,Algorithm,TimeUs,Comparisons
900,Prefixed,LCP_MergeSort,1243.97,31223
900,Prefixed,MSD_Radix,472.083,6300
900,Prefixed,MSD_Hybrid,477.333,6300
1000,Random,Std_QuickSort,751.558,13914
1000,Random,Std_MergeSort,1109.28,11570
1000,Random,Ternary_QS,363.317,9440
1000,Random,LCP_MergeSort,1065.05,7835
1000,Random,MSD_Radix,377.025,2164
1000,Random,MSD_Hybrid,237.075,3924
1000,Reversed,Std_QuickSort,600.483,12927
1000,Reversed,Std_MergeSort,831.025,8053
1000,Reversed,Ternary_QS,291.65,8057
1000,Reversed,LCP_MergeSort,840.95,3797
1000,Reversed,MSD_Radix,465.442,2406
1000,Reversed,MSD_Hybrid,262.284,4692
1000,NearlySorted,Std_QuickSort,570.709,12628
1000,NearlySorted,Std_MergeSort,948.658,10782
1000,NearlySorted,Ternary_QS,299,8272
1000,NearlySorted,LCP_MergeSort,847.291,4015
1000,NearlySorted,MSD_Radix,489.783,2425
1000,NearlySorted,MSD_Hybrid,265.983,4723
1000,Prefixed,Std_QuickSort,4342.61,322244
1000,Prefixed,Std_MergeSort,3782.63,246124
1000,Prefixed,Ternary_QS,622.525,36347
1000,Prefixed,LCP_MergeSort,1406.42,34815
1000,Prefixed,MSD_Radix,518.592,7000
1000,Prefixed,MSD_Hybrid,538.008,7000
1100,Random,Std_QuickSort,829.35,15567
1100,Random,Std_MergeSort,1246.68,13048
1100,Random,Ternary_QS,427.158,11468
1100,Random,LCP_MergeSort,1202.71,8783
1100,Random,MSD_Radix,408.225,2389
1100,Random,MSD_Hybrid,268.1,4419
1100,Reversed,Std_QuickSort,671.609,14347
1100,Reversed,Std_MergeSort,875.867,8700
1100,Reversed,Ternary_QS,315.8,9138
1100,Reversed,LCP_MergeSort,915.883,4036
1100,Reversed,MSD_Radix,504.067,2645
1100,Reversed,MSD_Hybrid,287,5141
1100,NearlySorted,Std_QuickSort,617.875,14087
1100,NearlySorted,Std_MergeSort,1034.19,12150
1100,NearlySorted,Ternary_QS,326.991,9303
1100,NearlySorted,LCP_MergeSort,947.425,4536
1100,NearlySorted,MSD_Radix,505.3,2651
1100,NearlySorted,MSD_Hybrid,267.517,5226
1100,Prefixed,Std_QuickSort,4375,323517
1100,Prefixed,Std_MergeSort,4262.21,275634
1100,Prefixed,Ternary_QS,786.067,40223
1100,Prefixed,LCP_MergeSort,1583.52,38458
1100,Prefixed,MSD_Radix,594.025,7700
1100,Prefixed,MSD_Hybrid,591.7,7700
1200,Random,Std_QuickSort,893.633,18209
1200,Random,Std_MergeSort,1345.43,14598
1200,Random,Ternary_QS,459.509,12379
1200,Random,LCP_MergeSort,1367.15,9765
1200,Random,MSD_Radix,445.217,2633
1200,Random,MSD_Hybrid,282.692,5080
1200,Reversed,Std_QuickSort,725.525,15661
1200,Reversed,Std_MergeSort,1018.56,9498
1200,Reversed,Ternary_QS,357.375,10041
1200,Reversed,LCP_MergeSort,1011.22,4404
1200,Reversed,MSD_Radix,555.425,2892
1200,Reversed,MSD_Hybrid,315.709,5596
1200,NearlySorted,Std_QuickSort,730.142,15830
1200,NearlySorted,Std_MergeSort,1140.27,13781
1200,NearlySorted,Ternary_QS,370.125,10674
1200,NearlySorted,LCP_MergeSort,1058.53,5147
1200,NearlySorted,MSD_Radix,576.008,2892
1200,NearlySorted,MSD_Hybrid,298.742,5684
1200,Prefixed,Std_QuickSort,4858.3,365191
1200,Prefixed,Std_MergeSort,4755.68,305991
1200,Prefixed,Ternary_QS,807.7,44521
1200,Prefixed,LCP_MergeSort,1746.02,42182
1200,Prefixed,MSD_Radix,645.85,8400
1200,Prefixed,MSD_Hybrid,616.033,8400
1300,Random,Std_QuickSort,1004.83,19194
1300,Random,Std_MergeSort,1489.2,16084
1300,Random,Ternary_QS,498.384,13966
1300,Random,LCP_MergeSort,1504.06,10676
1300,Random,MSD_Radix,501.767,2863
1300,Random,MSD_Hybrid,324.958,5512
1300,Reversed,Std_QuickSort,783.033,17431
