n pattern algo avg_time_micro
41800 random hybrid 5492.4
41900 random merge 6194
41900 random hybrid 5468.4
42000 random merge 6174.8
42000 random hybrid 5502.4
42100 random merge 6185.4
42100 random hybrid 5541.8
42200 random merge 6317.8
42200 random hybrid 5629.4
42300 random merge 6340.8
42300 random hybrid 5649.6
42400 random merge 6354.4
42400 random hybrid 5650.2
42500 random merge 6377
42500 random hybrid 5671.4
42600 random merge 6398.8
42600 random hybrid 5698
42700 random merge 6429.8
42700 random hybrid 5706.6
42800 random merge 6430
42800 random hybrid 5718
42900 random merge 6450.6
42900 random hybrid 5725.2
43000 random merge 6462.8
43000 random hybrid 5735.2
43100 random merge 6493.2
43100 random hybrid 5757
43200 random merge 6509.8
43200 random hybrid 5791.2
43300 random merge 6560.8
43300 random hybrid 5722.6
43400 random merge 6488.6
43400 random hybrid 5779.4
43500 random merge 6526.4
43500 random hybrid 5751.8
43600 random merge 6562
43600 random hybrid 5925.4
43700 random merge 6583.8
43700 random hybrid 5796.8
43800 random merge 6570.4
43800 random hybrid 5879
43900 random merge 6540
43900 random hybrid 5872.6
44000 random merge 6570.8
44000 random hybrid 5860.6
44100 random merge 6650.6
44100 random hybrid 5872.2
44200 random merge 8940.4
44200 random hybrid 5958
44300 random merge 6715.4
44300 random hybrid 5880.2
44400 random merge 6656
44400 random hybrid 5952.6
44500 random merge 6708.2
44500 random hybrid 5874.6
44600 random merge 6627.4
44600 random hybrid 5916.4
44700 random merge 6615.2
44700 random hybrid 5880.2
44800 random merge 6631
44800 random hybrid 5944.8
44900 random merge 6685.4
44900 random hybrid 5930
45000 random merge 6661.2
45000 random hybrid 5940.6
45100 random merge 6719.4
45100 random hybrid 5975
45200 random merge 6701.4
45200 random hybrid 6003
45300 random merge 6731
45300 random hybrid 5958.6
45400 random merge 6742
45400 random hybrid 6009.2
45500 random merge 6861.2
45500 random hybrid 5964.8
45600 random merge 6819.2
45600 random hybrid 5993.4
45700 random merge 6783.4
45700 random hybrid 6048
45800 random merge 6837.8
45800 random hybrid 6081.2
45900 random merge 6862.2
45900 random hybrid 6034.4
46000 random merge 6824
46000 random hybrid 6074.2
46100 random merge 6827.4
46100 random hybrid 6057.4
46200 random merge 6931.8
46200 random hybrid 6131.2
46300 random merge 6785
46300 random hybrid 6104.6
46400 random merge 7023.8
46400 random hybrid 6213.6
46500 random merge 7020.2
46500 random hybrid 6229.8
46600 random merge 7033.4
46600 random hybrid 6233.4
46700 random merge 7060.2
46700 random hybrid 6249.2
46800 random merge 7065.2
46800 random hybrid 6267.2
46900 random merge 7076.4
46900 random hybrid 6276.8
47000 random merge 7099.4
47000 random hybrid 6306.2
47100 random merge 7117.2
47100 random hybrid 6308.4
47200 random merge 7127.2
47200 random hybrid 6331.8
47300 random merge 7107.2
47300 random hybrid 6315.6
47400 random merge 7129.4
47400 random hybrid 6318.6
47500 random merge 7150.8
47500 random hybrid 6343.2
47600 random merge 7169.2
47600 random hybrid 6393.8
47700 random merge 7198.2
47700 random hybrid 6419.2
47800 random merge 7232.2
47800 random hybrid 6420
47900 random merge 7242
47900 random hybrid 6414.8
48000 random merge 7261.6
48000 random hybrid 6435.2
48100 random merge 7272.8
48100 random hybrid 6428.4
48200 random merge 7264
48200 random hybrid 6444
48300 random merge 7309.2
48300 random hybrid 6464.6
48400 random merge 7317
48400 random hybrid 6497.6
48500 random merge 7332.2
48500 random hybrid 6506.8
48600 random merge 7332.4
48600 random hybrid 6500.2
48700 random merge 7341.2
48700 random hybrid 6496
48800 random merge 7352.8
48800 random hybrid 6523.4
48900 random merge 7376
48900 random hybrid 6528
49000 random merge 7378.2
49000 random hybrid 6550.2
49100 random merge 7389
49100 random hybrid 6556.8
49200 random merge 7414
49200 random hybrid 6576.4
49300 random merge 7430.6
49300 random hybrid 6576.6
49400 random merge 7429.6
49400 random hybrid 6602.2
49500 random merge 7462.2
49500 random hybrid 6620.4
49600 random merge 7478.8
49600 random hybrid 6640.6
49700 random merge 7484.6
49700 random hybrid 6641.6
49800 random merge 7517.2
49800 random hybrid 6657
49900 random merge 7519
49900 random hybrid 6676
50000 random merge 7556
50000 random hybrid 6687.8
50100 random merge 7571.6
50100 random hybrid 6698.6
50200 random merge 7569
50200 random hybrid 6711.6
50300 random merge 7593.2
50300 random hybrid 6724.6
50400 random merge 7621.6
50400 random hybrid 6735
50500 random merge 7627
50500 random hybrid 6742
50600 random merge 7652.8
50600 random hybrid 6792.2
50700 random merge 7768.4
50700 random hybrid 6779
50800 random merge 7671
50800 random hybrid 6939.4
50900 random merge 7755.6
50900 random hybrid 6845.4
51000 random merge 7784.8
51000 random hybrid 6803.6
51100 random merge 7796.2
51100 random hybrid 6862.8
51200 random merge 7769
