n pattern algo avg_time_micro
30800 random merge 4462.8
30800 random hybrid 4346
30900 random merge 4997.2
30900 random hybrid 4163
31000 random merge 4926.4
31000 random hybrid 4004.2
31100 random merge 4524.2
31100 random hybrid 3945.8
31200 random merge 4488.6
31200 random hybrid 3971.8
31300 random merge 4425.2
31300 random hybrid 3952.2
31400 random merge 4466
31400 random hybrid 4097.8
31500 random merge 4583.8
31500 random hybrid 4042.2
31600 random merge 4568.8
31600 random hybrid 4033.4
31700 random merge 4640.6
31700 random hybrid 4130.6
31800 random merge 4664.6
31800 random hybrid 4130.8
31900 random merge 4675
31900 random hybrid 4144.8
32000 random merge 4697.8
32000 random hybrid 4150
32100 random merge 4704.6
32100 random hybrid 4163.8
32200 random merge 4704.2
32200 random hybrid 4171.2
32300 random merge 4724.8
32300 random hybrid 4176.6
32400 random merge 4770.2
32400 random hybrid 4220
32500 random merge 4770.8
32500 random hybrid 4234.2
32600 random merge 4777.8
32600 random hybrid 4238.2
32700 random merge 4792.8
32700 random hybrid 4256.2
32800 random merge 4814.4
32800 random hybrid 4264
32900 random merge 4797.2
32900 random hybrid 4279
33000 random merge 4815.4
33000 random hybrid 4298.4
33100 random merge 4835
33100 random hybrid 4319.8
33200 random merge 4855.6
33200 random hybrid 4342
33300 random merge 4880.8
33300 random hybrid 4345.8
33400 random merge 4899.4
33400 random hybrid 4365
33500 random merge 4921.4
33500 random hybrid 4378.8
33600 random merge 4935.8
33600 random hybrid 4395.6
33700 random merge 4968.2
33700 random hybrid 4419.4
33800 random merge 4975.2
33800 random hybrid 4428
33900 random merge 4980
33900 random hybrid 4434.6
34000 random merge 5006.4
34000 random hybrid 4442.4
34100 random merge 5024.4
34100 random hybrid 4448.2
34200 random merge 5044.6
34200 random hybrid 4485.2
34300 random merge 5071.6
34300 random hybrid 4500.4
34400 random merge 5077.8
34400 random hybrid 4512.4
34500 random merge 5084.2
34500 random hybrid 4516.8
34600 random merge 5112.2
34600 random hybrid 4525.4
34700 random merge 5125.6
34700 random hybrid 4553.2
34800 random merge 5141.2
34800 random hybrid 4557.4
34900 random merge 5140.4
34900 random hybrid 4580.6
35000 random merge 4982.4
35000 random hybrid 4568.8
35100 random merge 5125.4
35100 random hybrid 4601
35200 random merge 5148.8
35200 random hybrid 4611.4
35300 random merge 5153.8
35300 random hybrid 4635.4
35400 random merge 5161
35400 random hybrid 4655
35500 random merge 5183.2
35500 random hybrid 4670.8
35600 random merge 5206.6
35600 random hybrid 4700.6
35700 random merge 5388.4
35700 random hybrid 4832
35800 random merge 5406.2
35800 random hybrid 4838
35900 random merge 5412.4
35900 random hybrid 4857
36000 random merge 5436.8
36000 random hybrid 4855.4
36100 random merge 5513.6
36100 random hybrid 4884.2
36200 random merge 5476
36200 random hybrid 4935.6
36300 random merge 5512.6
36300 random hybrid 4920
36400 random merge 5449.6
36400 random hybrid 4874.4
36500 random merge 5457.4
36500 random hybrid 4915.2
36600 random merge 5483.4
36600 random hybrid 4877.8
36700 random merge 5394.6
36700 random hybrid 4846.4
36800 random merge 5414.6
36800 random hybrid 4852.4
36900 random merge 5429.4
36900 random hybrid 4874.8
37000 random merge 5429
37000 random hybrid 4878.6
37100 random merge 5453.2
37100 random hybrid 4897
37200 random merge 5456.6
37200 random hybrid 4915.2
37300 random merge 5483.8
37300 random hybrid 4933.2
37400 random merge 5483.6
37400 random hybrid 4938.4
37500 random merge 5505.4
37500 random hybrid 4949
37600 random merge 5527
37600 random hybrid 4972
37700 random merge 5548.6
37700 random hybrid 4984.6
37800 random merge 5559.4
37800 random hybrid 5002.8
37900 random merge 5585.2
37900 random hybrid 5014.6
38000 random merge 5595.2
38000 random hybrid 5026
38100 random merge 5619.6
38100 random hybrid 5055.6
38200 random merge 5636.8
38200 random hybrid 5070.4
38300 random merge 5635
38300 random hybrid 5078
38400 random merge 5653.2
38400 random hybrid 5073.4
38500 random merge 5657
38500 random hybrid 5093.8
38600 random merge 5673.6
38600 random hybrid 5124.6
38700 random merge 5692
38700 random hybrid 5138.8
38800 random merge 5711.6
38800 random hybrid 5152.4
38900 random merge 5727.8
38900 random hybrid 5172.6
39000 random merge 5744.8
39000 random hybrid 5176.6
39100 random merge 5767.4
39100 random hybrid 5192.6
39200 random merge 5783.8
39200 random hybrid 5200
39300 random merge 5801.2
39300 random hybrid 5220.2
39400 random merge 5804.4
39400 random hybrid 5235.8
39500 random merge 5816.6
39500 random hybrid 5262.8
39600 random merge 5836.2
39600 random hybrid 5292.8
39700 random merge 5854
39700 random hybrid 5298.4
39800 random merge 5870.8
39800 random hybrid 5299.8
39900 random merge 5863.8
39900 random hybrid 5324.2
40000 random merge 5886.2
40000 random hybrid 5327.8
40100 random merge 6083
40100 random hybrid 5366
40200 random merge 5942
40200 random hybrid 5388
40300 random merge 5974
40300 random hybrid 5344.8
40400 random merge 5921.2
40400 random hybrid 5403
40500 random merge 5996.2
40500 random hybrid 5433.6
40600 random merge 6017.8
40600 random hybrid 5443.6
40700 random merge 6026
40700 random hybrid 5478.8
40800 random merge 6030.2
40800 random hybrid 5493.4
40900 random merge 6053.6
40900 random hybrid 5501.6
41000 random merge 6062.2
41000 random hybrid 5509.6
41100 random merge 6085.6
41100 random hybrid 5541
41200 random merge 6117.2
41200 random hybrid 5553.2
41300 random merge 6105.8
41300 random hybrid 5587
41400 random merge 6261.2
41400 random hybrid 5505
41500 random merge 6079.6
41500 random hybrid 5549.4
41600 random merge 6143
41600 random hybrid 5577
41700 random merge 6171.4
41700 random hybrid 5621
41800 random merge 6214.4
41800 random hybrid 5623.2
41900 random merge 13041
41900 random hybrid 5956
42000 random merge 6231.6
42000 random hybrid 5688
42100 random merge 6194.8
42100 random hybrid 5703
42200 random merge 6240.8
42200 random hybrid 5720.6
42300 random merge 6354.8
42300 random hybrid 5735.2
42400 random merge 6353.4
42400 random hybrid 5740.6
42500 random merge 6377.4
42500 random hybrid 5750.8
42600 random merge 6393.4
42600 random hybrid 5777
42700 random merge 6396.2
42700 random hybrid 5773.4
42800 random merge 6406.6
42800 random hybrid 5810.2
42900 random merge 6438.4
42900 random hybrid 5835.6
43000 random merge 6501.6
43000 random hybrid 5918
43100 random merge 6347
43100 random hybrid 5838
43200 random merge 6443.2
43200 random hybrid 5918.2
43300 random merge 6519.6
43300 random hybrid 5885.2
43400 random merge 6490.4
43400 random hybrid 5903.4
43500 random merge 6511.2
43500 random hybrid 5910.8
43600 random merge 6541.8
43600 random hybrid 5946
43700 random merge 6569.8
43700 random hybrid 6234.2
43800 random merge 6658.8
43800 random hybrid 6128
43900 random merge 6575
43900 random hybrid 5951.2
44000 random merge 6590
44000 random hybrid 6027.4
44100 random merge 6634
44100 random hybrid 6027.2
44200 random merge 6607.8
44200 random hybrid 6007
44300 random merge 6661
44300 random hybrid 6073.6
44400 random merge 6633.4
44400 random hybrid 6002.6
44500 random merge 6638.4
44500 random hybrid 6059.2
44600 random merge 6666.4
44600 random hybrid 6096.4
44700 random merge 6684.2
44700 random hybrid 6106.8
44800 random merge 6680.6
44800 random hybrid 6107.4
44900 random merge 6710.6
44900 random hybrid 6105.6
45000 random merge 7356.4
45000 random hybrid 6320.6
45100 random merge 6916.2
45100 random hybrid 6781.4
45200 random merge 7118.2
45200 random hybrid 6262.2
45300 random merge 6847
45300 random hybrid 6176.2
45400 random merge 6817.2
45400 random hybrid 6226
45500 random merge 7077
45500 random hybrid 6260.4
45600 random merge 6813
45600 random hybrid 6207.2
45700 random merge 6812
45700 random hybrid 6277
45800 random merge 6915.4
45800 random hybrid 6302.6
45900 random merge 6948
45900 random hybrid 6345.8
46000 random merge 6975
46000 random hybrid 6338.4
46100 random merge 7003
46100 random hybrid 6367.4
46200 random merge 6999
46200 random hybrid 6362.2
46300 random merge 7008
46300 random hybrid 6394.4
46400 random merge 7013
46400 random hybrid 6400.2
46500 random merge 7034.2
46500 random hybrid 6417.4
46600 random merge 7043.4
46600 random hybrid 6457.6
46700 random merge 7068.4
46700 random hybrid 6458.2
46800 random merge 7082.4
46800 random hybrid 6462.4
46900 random merge 7077.2
46900 random hybrid 6501
47000 random merge 7206.4
47000 random hybrid 6445.6
47100 random merge 7056
47100 random hybrid 6522
47200 random merge 7152.4
47200 random hybrid 6525.6
47300 random merge 7137.6
47300 random hybrid 6548
47400 random merge 7136.8
47400 random hybrid 6579.8
47500 random merge 7165.8
47500 random hybrid 6596.2
47600 random merge 7174.4
47600 random hybrid 6624
47700 random merge 7186.4
47700 random hybrid 6623.8
47800 random merge 7202.6
47800 random hybrid 6639.4
47900 random merge 7201
47900 random hybrid 6639
48000 random merge 7178.4
48000 random hybrid 6729
48100 random merge 7281.6
48100 random hybrid 6688.8
48200 random merge 7228.4
48200 random hybrid 6709.2
48300 random merge 7316.8
48300 random hybrid 6713.2
48400 random merge 7336.6
48400 random hybrid 6771.6
48500 random merge 8135.2
48500 random hybrid 7116.6
48600 random merge 7379.4
48600 random hybrid 6674.8
48700 random merge 7316.2
48700 random hybrid 6787
48800 random merge 7367.4
48800 random hybrid 6825.2
48900 random merge 7383.2
48900 random hybrid 6827.4
49000 random merge 7404.4
